资产名称,地市,区县,行业,本金/万元,利息/万元,担保方式,保证人,押品大类,押品子类,存放地市,区县,抵押品数量（单位）,抵押人,责任项目经理姓名,员工工号,责任项目经理联系方式,备注（资产包名称）
汉中汉阳茶业有限公司,汉中市,勉县,农、林、牧、渔业,128.82,0,抵押+保证,韩小强、肖海清,居住用房,其他居住用房,汉中市,勉县,101.34平方米,韩小强、肖海清,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
洋县盛佳源农业发展有限公司,汉中市,洋县,农、林、牧、渔业,253.9,16.18,抵押+保证,何忠金、姚仁毕、何树红,商业用房,商铺、商场,汉中市,洋县,768.9平方米,何忠金、姚仁毕、何江龙、何虎林,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
洋县盛佳源农业发展有限公司,汉中市,洋县,农、林、牧、渔业,253.9,16.18,抵押+保证,何忠金、姚仁毕、何树红,土地使用权,商业用地,汉中市,洋县,196平方米,何忠金、姚仁毕、何江龙、何虎林,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
陕西光大农业科技发展有限公司,渭南市,临渭区,批发和零售业,884.51,204.21,抵押+保证,杨瑞元、张存莲、杨峰、惠佩佩,办公用房,办公楼,渭南市,临渭区,3623.73平方米,渭南光大农资市场建设管理有限公司,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
陕西光大农业科技发展有限公司,渭南市,临渭区,批发和零售业,884.51,204.21,抵押+保证,杨瑞元、张存莲、杨峰、惠佩佩,土地使用权,商业用地,渭南市,临渭区,3083.34平方米,渭南光大农资市场建设管理有限公司,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
大荔远程汽车销售服务有限公司,渭南市,大荔县,批发和零售业,476,57.83,抵押+保证,李华栋、温小玉,工业用房,工业厂房,渭南市,澄城县,3312.75平方米,大荔远程汽车销售服务有限公司,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
大荔远程汽车销售服务有限公司,渭南市,大荔县,批发和零售业,476,57.83,抵押+保证,李华栋、温小玉,土地使用权,其他用地,渭南市,澄城县,18372.38平方米,大荔远程汽车销售服务有限公司,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
渭南市中秦建筑工程有限责任公司,渭南市,临渭区,建筑业,491,9.55,抵押+保证,何振中、何志诚、何志洋、何晓妮、杨丽、李宏良、何晓红、刘芳侠,土地使用权,商业用地,渭南市,临渭区,6153.7平方米,渭南宏基房地产开发有限责任公司,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
渭南市中秦建筑工程有限责任公司,渭南市,临渭区,建筑业,491,9.55,抵押+保证,何振中、何志诚、何志洋、何晓妮、杨丽、李宏良、何晓红、刘芳侠,商业用房,其他商业用房,渭南市,临渭区,1292.38平方米,渭南宏基房地产开发有限责任公司,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
陕西超宇机械工程有限公司,渭南市,临渭区,工业,800,84.36,抵押+保证,李万旺、李超、李静、王秀琴、武明、刘佳,工业用房,工业厂房,渭南市,临渭区,7797.09平方米,陕西超宇机械工程有限公司,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
陕西超宇机械工程有限公司,渭南市,临渭区,工业,800,84.36,抵押+保证,李万旺、李超、李静、王秀琴、武明、刘佳,土地使用权,工业用地,渭南市,临渭区,11403.1平方米,陕西超宇机械工程有限公司,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
渭南市三秦粮油收储有限公司,渭南市,临渭区,批发和零售业,250,39.32,抵押+保证,章立早,土地使用权,其他用地,渭南市,临渭区,8868平方米,渭南市三秦粮油收储有限公司,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
渭南市三秦粮油收储有限公司,渭南市,临渭区,批发和零售业,250,39.32,抵押+保证,章立早,工业用房,仓储,渭南市,临渭区,3395.98平方米,渭南市三秦粮油收储有限公司,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
陕西合欢面粉有限公司,渭南市,合阳县,工业,783.53,94.82,抵押+保证,雷榜林、李仙景、赵进章、辛夏爱、梁峰、李晓艳、雷贇、党红艳、钱民奇、赵固玲,土地使用权,工业用地,渭南市,合阳县,26733.25平方米,陕西合欢面粉有限公司,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
陕西合欢面粉有限公司,渭南市,合阳县,工业,783.53,94.82,抵押+保证,雷榜林、李仙景、赵进章、辛夏爱、梁峰、李晓艳、雷贇、党红艳、钱民奇、赵固玲,工业用房,工业厂房,渭南市,合阳县,11343.87平方米,陕西合欢面粉有限公司,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
大荔县光大枣业有限公司,渭南市,大荔县,批发和零售业,449.52,33.26,抵押+保证,韦建林、李岚,商业用房,商铺、商场,渭南市,大荔县,2539.44平方米,韦建林/王丽萍及李卫民,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
华阴市佳谷粮食储销有限公司,渭南市,华阴市,批发和零售业,442.69,10.58,抵押+保证,严文全、严小亚、杨新伟、杨萍鸽,商业用房,宾馆酒店,渭南市,华阴市,2748.59平方米,严文全、严小亚、杨新伟、杨萍鸽,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
蒲城凯达木业有限公司,渭南市,蒲城县,工业,570,0,抵押+保证,戚世军、乔艳军、李玉婷、宋俊利,土地使用权,工业用地,渭南市,蒲城县,34660平方米,蒲城凯达木业有限公司,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
蒲城凯达木业有限公司,渭南市,蒲城县,工业,570,0,抵押+保证,戚世军、乔艳军、李玉婷、宋俊利,工业用房,工业厂房,渭南市,蒲城县,6372.03平方米,蒲城凯达木业有限公司,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
蒲城县鸿瑞豪有限责任公司,渭南市,蒲城县,住宿和餐饮业,475.54,53.05,抵押+保证,马国芳、姚建军、姚建忠、蒋丽丽,居住用房,其他居住用房,渭南市,蒲城县,6006.18平方米,蒲城县鸿瑞豪有限责任公司,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
大荔殷官棉花加工有限公司,渭南市,大荔县,批发和零售业,910,0,抵押+保证,康建宏、殷红芳,商业用房,商铺、商场,渭南市,大荔县,2434.46平方米,李卫民、任桂丽、苏有财、翟改利、大荔长航房地产开发有限公司,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
大荔恒晟祥商贸有限公司,渭南市,大荔县,工业,317,5.98,抵押+保证,何海龙、何凤丽、常婷、张菊英,工业用房,工业厂房,渭南市,大荔县,1435.28平方米,大荔恒晟祥商贸有限公司,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
大荔恒晟祥商贸有限公司,渭南市,大荔县,工业,317,5.98,抵押+保证,何海龙、何凤丽、常婷、张菊英,土地使用权,工业用地,渭南市,大荔县,31427.06平方米,大荔恒晟祥商贸有限公司,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
蒲城东广汽车销售有限公司,渭南市,蒲城县,批发和零售业,330,0,抵押+保证,姚四兴、姚沫含、高玉梅,土地使用权,商业用地,渭南市,蒲城县,11668.5平方米,蒲城东广汽车销售有限公司,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
大荔鸿林汽贸有限公司,渭南市,大荔县,批发和零售业,228.92,10.75,抵押+保证,温润叶、马坤林、陈鹏、韩佳、吕玲,商业用房,商铺、商场,渭南市,大荔县,624.2平方米,大荔鸿林汽贸有限公司,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
陕西万嘉科技有限公司,西安市,碑林区,批发和零售业,1250.06,413.12,质押+保证,田应东、张睿、胡苏茂、郝青丽,应收款项,交易类应收账款,西安市,碑林区,1500万元,陕西万嘉科技有限公司,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
西安欣锐精密机械有限公司,西安市,雁塔区,批发和零售业,3310,198.76,保证,尤杰、李红梅,保证债权,保证债权,,,,,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
陕西中邦盛达建材工程有限公司,西安市,雁塔区,批发和零售业,666,40.76,抵押+保证,高西强、赵菊青、左大勇,商业用房,商铺、商场,西安市,雁塔区,597.97平方米,赵菊青、陈芳、李秀梅、张东康,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
陕西嘉德现代农业有限公司,咸阳市,永寿县,批发和零售业,765,91.59,抵押+保证,马笠泰,工业用房,工业厂房,咸阳市,永寿县,3637.5平方米,陕西嘉德现代农业有限公司,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
陕西嘉德现代农业有限公司,咸阳市,永寿县,批发和零售业,765,91.59,抵押+保证,马笠泰,土地使用权,工业用地,咸阳市,永寿县,20844.13平方米,陕西嘉德现代农业有限公司,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
陕西胜凯商贸有限公司,咸阳市,秦都区,批发和零售业,398.64,0,抵押+保证,曹富民、李岁侠、黄俊儒、曹芳芳、林忠建、李雅琴、林定坤、郑小钦、林定辉,商业用房,商铺、商场,咸阳市,彬县,2041.5平方米,陕西融辉置业发展有限公司,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
长武县永宏果业有限公司,咸阳市,长武县,批发和零售业,361,23.75,抵押+保证,张永宏、韩远荣,商业用房,商铺、商场,咸阳市,长武县,785.1平方米,张永宏、韩远荣,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
咸阳泰安劳保机电物资有限公司,咸阳市,秦都区,批发和零售业,787.92,19.84,抵押+保证,史德勇、刘青、赵敏,商业用房,商铺、商场,咸阳市,秦都区,304.26平方米,史德勇、刘青,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
咸阳康民面粉有限公司,咸阳市,秦都区,工业,597.38,96.28,抵押+保证,赵萌芳、赵建雄,土地使用权,工业用地,咸阳市,彬县,33333平方米,咸阳康民面粉有限公司,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
陕西中盛果业有限公司,咸阳市,长武县,批发和零售业,839.6,18.68,抵押+保证,樊建斌、鱼红娟,土地使用权,其他用地,咸阳市,长武县,11999.38平方米,陕西中盛果业有限公司,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
陕西中盛果业有限公司,咸阳市,长武县,批发和零售业,839.6,18.68,抵押+保证,樊建斌、鱼红娟,工业用房,仓储,咸阳市,长武县,5055.11平方米,陕西中盛果业有限公司,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
陕西中和现代实业有限公司,西安市,雁塔区,农、林、牧、渔业,260,0,抵押+保证,杜小平、郑宏、杜勇勇、王静、杜林林、姚美群,土地使用权,工业用地,咸阳市,三原县,16035.72平方米,三原龙腾运输有限公司,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
陕西大世界商贸有限公司,咸阳市,兴平市,批发和零售业,469.9,8.58,抵押+保证,张林、李美丽,商业用房,商铺、商场,咸阳市,兴平市,2895.35平方米,张林、李美丽,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
陕西天人合一现代农业发展有限公司,咸阳市,秦都区,农、林、牧、渔业,397.47,35.1,抵押+保证,申金萍、郭国平、申志奎及惠培玲,商业用房,商铺、商场,咸阳市,泾阳县,928.07平方米,陕西鑫军房地产开发有限公司,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
咸阳丰利达包装有限责任公司,咸阳市,永寿县,工业,300,7.39,抵押+保证,曹百林、马焕凤,工业用房,工业厂房,咸阳市,永寿县,4945.6平方米,咸阳丰利达包装有限责任公司,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
咸阳丰利达包装有限责任公司,咸阳市,永寿县,工业,300,7.39,抵押+保证,曹百林、马焕凤,土地使用权,工业用地,咸阳市,永寿县,11264.1平方米,咸阳丰利达包装有限责任公司,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
西安超勇装饰工程有限公司,咸阳市,秦都区,建筑业,949,47.34,抵押+保证,谢世铨、谢世桥,办公用房,办公楼,西安市,雁塔区,936.18平方米,陕西亿联实业有限公司,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
安康市汉滨区恒利粮业有限公司,安康市,汉滨区,工业,1841.78,39.1,抵押+保证,陕西省安康市元辰实业（集团）有限公司，章学良，刘燕群,商业用房,商铺、商场,安康市,汉滨区,2353.45平方米,章学良、广平、张哲峰,潘浩,haopan,029-62220260,建设银行15户不良资产包
定边县皓琨石油技术服务有限责任公司,榆林市,定边县,工业,1276,17.43,抵押+保证,陕西乐晶置业有限公司，周健，周正海，张彦丽,商业用房,宾馆酒店,榆林市,定边县,4357.53平方米,周正海,潘浩,haopan,029-62220260,建设银行15户不良资产包
府谷县祥荣煤矿有限公司,榆林市,府谷县,工业,2690,0,抵押+保证,府谷县恒源煤焦电化有限公司，府谷县金宏湾矿业有限公司，杨东、刘巧林、刘飞,动产,专用设备,榆林市,府谷县,64台（套）,府谷县祥荣煤矿有限公司,潘浩,haopan,029-62220260,建设银行15户不良资产包
汉中远大国际家居博览中心有限公司,汉中市,汉台区,租赁和商务服务业,1491.26,58.91,抵押+保证,王金明，洪碧华,土地使用权,商业用地,汉中市,汉台区,13592.91平方米,汉中市聚森林产品交易市场,潘浩,haopan,029-62220260,建设银行15户不良资产包
靖边县丰泰商贸有限责任公司,榆林市,靖边县,批发和零售业,300,96.23,抵押+保证,李靖艳，潘建军,商业用房,其他商业用房,榆林市,靖边县,468平方米,李靖艳,潘浩,haopan,029-62220260,建设银行15户不良资产包
洛川县农绿塬农林牧业有限责任公司,延安市,洛川县,农、林、牧、渔业,729.78,47.32,抵押+保证,张军红，李建,土地使用权,居住用地,延安市,洛川县,173.43平方米,李建,潘浩,haopan,029-62220260,建设银行15户不良资产包
洛川县农绿塬农林牧业有限责任公司,延安市,洛川县,农、林、牧、渔业,729.78,47.32,抵押+保证,张军红，李建,商业用房,宾馆酒店,延安市,洛川县,1392.1平方米,李建,潘浩,haopan,029-62220260,建设银行15户不良资产包
陕西秦光装饰工程有限公司,西安市,未央区,建筑业,476,10.07,抵押+保证,苗志诚、张西琴、张明全、糜文莲,居住用房,普通商品用房,西安市,未央区,168.82平方米,陕西秦光装饰工程有限公司,潘浩,haopan,029-62220260,建设银行15户不良资产包
陕西秦光装饰工程有限公司,西安市,未央区,建筑业,476,10.07,抵押+保证,苗志诚、张西琴、张明全、糜文莲,办公用房,办公楼,西安市,未央区,776.38平方米,苗志诚,潘浩,haopan,029-62220260,建设银行15户不良资产包
陕西秦光装饰工程有限公司,西安市,未央区,建筑业,476,10.07,抵押+保证,苗志诚、张西琴、张明全、糜文莲,居住用房,普通商品用房,西安市,未央区,369.64平方米,苗志诚,潘浩,haopan,029-62220260,建设银行15户不良资产包
陕西天鑫兔业股份有限公司,咸阳市,杨陵区,农、林、牧、渔业,949.95,69.81,抵押+保证,杨凌锦业企业管理咨询有限公司、杨凌隆和企业管理咨询有限公司、孙雅丽、汤庆安,土地使用权,工业用地,咸阳市,杨陵区,20094.09平方米,陕西天鑫兔业股份有限公司,潘浩,haopan,029-62220260,建设银行15户不良资产包
陕西天鑫兔业股份有限公司,咸阳市,杨陵区,农、林、牧、渔业,949.95,69.81,抵押+保证,杨凌锦业企业管理咨询有限公司、杨凌隆和企业管理咨询有限公司、孙雅丽、汤庆安,工业用房,工业厂房,咸阳市,杨陵区,8229.79平方米,陕西天鑫兔业股份有限公司,潘浩,haopan,029-62220260,建设银行15户不良资产包
延安宏丽商贸有限责任公司,延安市,宝塔区,批发和零售业,480.93,32.31,抵押+保证,卢德行、韩延河,商业用房,商铺、商场,延安市,宝塔区,1499.7平方米,陕西宏远房地产股份有限公司延安分公司,潘浩,haopan,029-62220260,建设银行15户不良资产包
榆林市金源建设工程有限公司,榆林市,榆阳区,建筑业,2298.04,73.75,抵押+保证,高云、杨华、邢鹏飞,土地使用权,居住用地,榆林市,榆阳区,23105.64平方米,榆林市森煜房地产开发有限公司,潘浩,haopan,029-62220260,建设银行15户不良资产包
榆林市金源建设工程有限公司,榆林市,榆阳区,建筑业,2298.04,73.75,抵押+保证,高云、杨华、邢鹏飞,土地使用权,商业用地,榆林市,榆阳区,7184.47平方米,榆林市森煜房地产开发有限公司,潘浩,haopan,029-62220260,建设银行15户不良资产包
榆林市金源建设工程有限公司,榆林市,榆阳区,建筑业,2298.04,73.75,抵押+保证,高云、杨华、邢鹏飞,商业用房,其他商业用房,榆林市,榆阳区,182.34平方米,刘建成，刘建梅,潘浩,haopan,029-62220260,建设银行15户不良资产包
榆林市永昌广告传媒有限公司,榆林市,榆阳区,租赁和商务服务业,300,59.61,抵押+保证,吴浩江、高洁、黄云飞、梁碧霞,商业用房,其他商业用房,榆林市,榆阳区,1162.09平方米,陕西达昌房地产开发有限公司,潘浩,haopan,029-62220260,建设银行15户不良资产包
榆林市榆阳区海鑫洗选煤有限公司,榆林市,榆阳区,工业,13355,559.91,抵押+质押+保证,陕西亿鑫建设工程有限公司、榆林市华创化工有限责任公司、榆林市鸿运工贸有限责任公司、谢香莲、任培雄、谢金娥、党有良,土地使用权,工业用地,榆林市,榆阳区,133334平方米,榆林市榆阳区海鑫洗选煤有限公司,潘浩,haopan,029-62220260,建设银行15户不良资产包
榆林市榆阳区海鑫洗选煤有限公司,榆林市,榆阳区,工业,13355,559.91,抵押+质押+保证,陕西亿鑫建设工程有限公司、榆林市华创化工有限责任公司、榆林市鸿运工贸有限责任公司、谢香莲、任培雄、谢金娥、党有良,土地使用权,商业用地,榆林市,榆阳区,3263平方米,谢香莲,潘浩,haopan,029-62220260,建设银行15户不良资产包
榆林市榆阳区海鑫洗选煤有限公司,榆林市,榆阳区,工业,13355,559.91,抵押+质押+保证,陕西亿鑫建设工程有限公司、榆林市华创化工有限责任公司、榆林市鸿运工贸有限责任公司、谢香莲、任培雄、谢金娥、党有良,土地使用权,商业用地,榆林市,榆阳区,9790平方米,毛忠军,潘浩,haopan,029-62220260,建设银行15户不良资产包
汉中贵夫人化工集团有限公司,汉中市,汉台区,工业,4599.05,352.8,抵押+保证,简凤兰、赵平,土地使用权,工业用地,汉中市,汉台区,77483平方米,四川省江油市胜峰天然气化工有限公司,潘浩,haopan,029-62220260,农行陕西省分行7户自营不良资产包
汉中贵夫人化工集团有限公司,汉中市,汉台区,工业,4599.05,352.8,抵押+保证,简凤兰、赵平,工业用房,工业厂房,汉中市,汉台区,19866.84平方米,四川省江油市胜峰天然气化工有限公司,潘浩,haopan,029-62220260,农行陕西省分行7户自营不良资产包
汉中贵夫人化工集团有限公司,汉中市,汉台区,工业,4599.05,352.8,抵押+保证,简凤兰、赵平,动产,专用设备,汉中市,汉台区,334台（套）,四川省江油市胜峰天然气化工有限公司,潘浩,haopan,029-62220260,农行陕西省分行7户自营不良资产包
陕西春光油脂有限公司,汉中市,勉县,工业,3994.82,527.32,抵押+质押+保证,武庆博，纪芝明,存货,库存商品,汉中市,勉县,3000吨菜籽油,陕西春光油脂有限公司,潘浩,haopan,029-62220260,农行陕西省分行7户自营不良资产包
陕西春光油脂有限公司,汉中市,勉县,工业,3994.82,527.32,抵押+质押+保证,武庆博，纪芝明,工业用房,工业厂房,汉中市,勉县,2261.17平方米,陕西春光生物能源开发有限公司,潘浩,haopan,029-62220260,农行陕西省分行7户自营不良资产包
陕西春光油脂有限公司,汉中市,勉县,工业,3994.82,527.32,抵押+质押+保证,武庆博，纪芝明,土地使用权,工业用地,汉中市,勉县,16982.9平方米,陕西春光生物能源开发有限公司,潘浩,haopan,029-62220260,农行陕西省分行7户自营不良资产包
陕西春光油脂有限公司,汉中市,勉县,工业,3994.82,527.32,抵押+质押+保证,武庆博，纪芝明,动产,专用设备,汉中市,勉县,231台（套）,陕西春光生物能源开发有限公司,潘浩,haopan,029-62220260,农行陕西省分行7户自营不良资产包
陕西春光油脂有限公司,汉中市,勉县,工业,3994.82,527.32,抵押+质押+保证,武庆博，纪芝明,工业用房,工业厂房,汉中市,勉县,7743.09平方米,陕西春光油脂有限公司,潘浩,haopan,029-62220260,农行陕西省分行7户自营不良资产包
陕西春光油脂有限公司,汉中市,勉县,工业,3994.82,527.32,抵押+质押+保证,武庆博，纪芝明,土地使用权,工业用地,汉中市,勉县,646.8平方米,陕西春光油脂有限公司,潘浩,haopan,029-62220260,农行陕西省分行7户自营不良资产包
陕西春光油脂有限公司,汉中市,勉县,工业,3994.82,527.32,抵押+质押+保证,武庆博，纪芝明,土地使用权,工业用地,汉中市,勉县,27254.67平方米,陕西春光油脂有限公司,潘浩,haopan,029-62220260,农行陕西省分行7户自营不良资产包
陕西春光油脂有限公司,汉中市,勉县,工业,3994.82,527.32,抵押+质押+保证,武庆博，纪芝明,动产,专用设备,汉中市,勉县,433台（套）,陕西春光油脂有限公司,潘浩,haopan,029-62220260,农行陕西省分行7户自营不良资产包
陕西省通用物资配送有限公司,汉中市,汉台区,批发和零售业,2990.05,334.74,抵押+保证,侯青东、马喜凤、侯晓波、张珂、杨明全、马驰、郝跃进,工业用房,工业厂房,汉中市,汉台区,8425.44平方米,汉中天一机床有限公司,潘浩,haopan,029-62220260,农行陕西省分行7户自营不良资产包
陕西省通用物资配送有限公司,汉中市,汉台区,批发和零售业,2990.05,334.74,抵押+保证,侯青东、马喜凤、侯晓波、张珂、杨明全、马驰、郝跃进,居住用房,其他居住用房,汉中市,汉台区,4085.74平方米,汉中天一机床有限公司,潘浩,haopan,029-62220260,农行陕西省分行7户自营不良资产包
陕西省通用物资配送有限公司,汉中市,汉台区,批发和零售业,2990.05,334.74,抵押+保证,侯青东、马喜凤、侯晓波、张珂、杨明全、马驰、郝跃进,土地使用权,其他用地,汉中市,汉台区,22128.5平方米,汉中天一机床有限公司,潘浩,haopan,029-62220260,农行陕西省分行7户自营不良资产包
陕西省通用物资配送有限公司,汉中市,汉台区,批发和零售业,2990.05,334.74,抵押+保证,侯青东、马喜凤、侯晓波、张珂、杨明全、马驰、郝跃进,土地使用权,工业用地,汉中市,汉台区,42746.5平方米,汉中天一机床有限公司,潘浩,haopan,029-62220260,农行陕西省分行7户自营不良资产包
陕西渭南燕兴实业有限公司,渭南市,临渭区,批发和零售业,9995.1,374.02,抵押+保证,杨胜利,商业用房,商铺、商场,渭南市,临渭区,6448.6平方米,陕西渭南燕兴实业有限公司,潘浩,haopan,029-62220260,农行陕西省分行7户自营不良资产包
渭南市广播电视中心,渭南市,临渭区,文化、体育和娱乐业,2760,983.14,抵押,,办公用房,办公楼,渭南市,临渭区,12840.62平方米,渭南市广播电视中心,潘浩,haopan,029-62220260,农行陕西省分行7户自营不良资产包
